Name three reasons why new business ideas come about. | 1. Changes in technology 2. Changes in consumer demand 3. Products and services becoming obsolete
What is an example of a business opportunity created by changes in technology? | Smartphones and social media created opportunities for businesses to develop mobile apps and digital marketing
What is an example of a business opportunity created by changes in consumer demand? | Growing demand for plant-based food products led to new businesses in the food industry
What is an example of a business opportunity created by products becoming obsolete? | Decline of physical media like CDs and DVDs created opportunities for digital streaming services like Netflix and Spotify
What is an original business idea? | A new and unique concept not based on existing products/services or ideas
What is an example of an original business idea? | Nutrigene's subscription service for personalized vitamin supplements based on an individual's DNA
What does adapting existing products involve? | Taking an existing concept and making it better or more suitable for a different market or customer base
What is an example of adapting existing products? | Uber adapted taxi services by offering a more convenient, efficient, and cost-effective solution through a mobile app
What are the three main risks of business activity? | 1. Business failure 2. Financial loss 3. Lack of security
What is business failure? | When a business is unable to meet its financial obligations or cannot generate enough revenue to sustain operations
What is financial loss in business? | Loss that occurs due to poor financial management, economic downturns, or unexpected events like natural disasters
What is lack of security in business? | Risk related to data security, intellectual property theft, or physical security
Name three ways entrepreneurs can reduce business risks. | 1. Careful management of cash flows 2. Conducting thorough market research 3. Setting clear aims and objectives
What are the three main rewards of business activity? | 1. Business success 2. Profit 3. Independence
What is business success? | When a business meets or exceeds its objectives like generating revenue, achieving profitability, or expanding operations
What is profit in business? | A measure of business success that allows reinvestment in growth opportunities, paying dividends, and providing financial stability
What is independence in business? | The ability to make your own decisions rather than being subject to demands of external stakeholders
What is the purpose of business activity? | To take inputs, add value to them, and create products which meet customer needs
What is the difference between goods and services? | Goods are physical products (like bicycles and T-shirts), while services are non-physical items (like hairdressing and tourism)
What is adding value in business? | The difference between the price charged to the customer and the cost of inputs required to create the product or service
What are five methods of adding value to products or services? | 1. Branding 2. Convenience 3. Quality 4. Unique Selling Points (USPs) 5. Design
How did Apple add value through branding? | By building a brand perceived as superior through quality materials, innovative design, and good marketing
How did Persil add value through convenience? | By creating dishwashing tablets to replace liquid, offering a more convenient option that allowed charging a higher price
How did Jo Malone add value through quality? | By using beautiful packaging that creates an exciting opening experience for customers
How did MoonPig add value through USPs? | By offering completely customizable greeting cards (size, color, design)
How did Samsung add value through design? | By building robust health tracking tools and amazing screens into their Galaxy Watch
What is an entrepreneur? | A person willing and able to create a new business idea or invention who takes risks in pursuing success
What are the three main characteristics of entrepreneurs? | 1. They organize resources 2. They make business decisions 3. They take risks
How do entrepreneurs organize resources? | By gathering and coordinating the necessary resources to start and operate a business
What does making business decisions involve for entrepreneurs? | Making decisions that determine success or failure, requiring market research, creativity, and business skill
What does taking risks mean for entrepreneurs? | Taking financial, personal, or professional risks that can lead to great rewards but also to failure and financial loss
