What is a market? | Any place where buyers and sellers can meet, e.g., the Amazon website or a shopping mall.
What is the difference between needs and wants? | Needs are considered essential (e.g., shelter, food) while wants are desires which are non-essential (e.g., Nike trainers).
What is the aim of marketing? | To help identify, anticipate and satisfy consumer needs and wants in a way that makes the business profit.
What is market research? | The process of systematically gathering data from consumers which can be used to influence business decisions.
What are the four main customer needs businesses should understand? | Price, quality, choice, and convenience.
How does understanding the customer need for "price" benefit a business? | It helps the business price its products competitively and offer promotions that appeal to their target market.
How does understanding the customer need for "quality" benefit a business? | It helps businesses create products that meet desired standards, which can lead to customer loyalty and positive word-of-mouth advertising.
How does understanding the customer need for "choice" benefit a business? | It helps businesses offer a range of options that cater to different customer preferences, increasing customer satisfaction and loyalty.
How does understanding the customer need for "convenience" benefit a business? | It helps businesses create an efficient and enjoyable customer experience, building customer loyalty and increasing repeat sales.
Why is understanding customers essential for business success? | It leads to greater sales and helps ensure business survival.
What is the purpose of market research? | To reduce risk, identify customer needs, find market gaps, assess competitors, and make informed decisions about resources and marketing.
What is primary research? | The process of gathering new information directly from consumers using field research methods such as surveys, interviews, etc.
What is secondary research? | The collection, compilation, and analysis of data which already exists.
What are five methods of primary market research? | Surveys, interviews, observation, focus groups, and test marketing.
What are three sources of secondary research? | The internet, market reports from specialist companies (e.g., Mintel), and government research (e.g., Office for National Statistics).
What is a survey in market research? | A method where a series of questions are asked to a sample of people, with results used to make inferences about the wider population.
What is observation in market research? | Studying consumer behavior in a store or judging potential consumer traffic at a particular location.
What are interviews in market research? | Similar to surveys but conducted by an interviewer who can ask follow-up questions and gather additional information.
What is test marketing? | Providing free samples for a limited period to the target market to gauge their response to the product.
What is a focus group? | A free-range discussion led by a marketing specialist with a small group of 12-15 people to collect detailed feedback on all aspects of the marketing mix.
What is quantitative data? | Data based on numbers, such as financial reports, market data, or numerical summaries from primary research.
What is qualitative data? | Data based on descriptions or explanations from conversations, discussions, impressions, and emotional feelings, usually gathered through primary research.
What are two limitations of qualitative data? | Small sample sizes may be unrepresentative, and bias may influence responses.
What are two limitations of quantitative data? | Data may be out-of-date or lack relevance for the specific purpose needed.
How has social media changed market research? | It allows for almost instantaneous communication between businesses and customers, low-cost information gathering, interactive relationships, and quick feedback.
What is market segmentation? | The process in which a single market is divided into sub-markets or 'segments' with different consumer characteristics.
What are five common ways to segment a market? | Geographical location, demographics, behavior, lifestyle, age, or gender.
What is an example of market segmentation in the crisp market? | The crisp market is segmented into dinner party snacks (premium price), health-conscious crisps, and lunch box value snacks.
What are two advantages of market segmentation? | Products can be targeted more precisely to meet different needs, and it's less expensive than marketing to wide market segments.
What are two disadvantages of market segmentation? | Not everyone in a segment behaves the same way, and a segment may be too small to be profitable.
What is market mapping? | A two-dimensional diagram that shows the attributes or characteristics of a product compared to rivals' products.
What does a gap in a market map indicate? | It may indicate a market niche, but needs to be researched carefully before a business commits.
What are two benefits of market mapping? | Market gaps can be identified, and comparisons can be made between a business's products and those of its rivals.
What are two limitations of market mapping? | A gap may exist because it's not profitable to fill, and only two criteria can be chosen, which may be too simplistic.
What is competition in business? | Competition occurs when at least two businesses provide goods/services to the same target market.
What is the difference between direct and indirect competition? | Direct competition is targeting customers with exactly the same product; indirect competition is selling different products but competing for the same disposable income.
What are three benefits of competition for customers? | Lower prices, better quality products, and better customer service.
What are five factors businesses use to assess competitors? | Price, quality, location, product range, and customer service.
How can low prices be both a competitive strength and weakness? | Strength: Attracts price-sensitive customers and can lead to economies of scale. Weakness: May struggle with profitability if quality is perceived as inadequate.
How can high quality be both a competitive strength and weakness? | Strength: Allows differentiation and higher prices. Weakness: May struggle against lower-priced rivals if customers don't value the quality.
How can location be both a competitive strength and weakness? | Strength: Easily accessible locations gain advantage. Weakness: Relying solely on location may not be enough to compete with other businesses in the same area.
How can product range be both a competitive strength and weakness? | Strength: Wide range attracts broader customer base. Weakness: May struggle to manage complexity and maintain consistent quality.
How can customer service be both a competitive strength and weakness? | Strength: Differentiates from rivals and builds loyalty. Weakness: May struggle against lower-priced rivals if customers don't recognize the value of good service.
How does competition impact pricing decisions? | Businesses must consider competitors' prices when setting their own to remain competitive while ensuring profitability.
How does competition impact product development decisions? | It may increase the speed of development of new features or entirely new products.
How does competition impact marketing decisions? | Businesses must develop effective strategies that differentiate them from competitors in advertising, promotions, and other marketing activities.
How does competition impact operational decisions? | Competitors can influence decisions such as the best method of production (job, batch, or flow).
Why can't competitive businesses stand still? | They need to constantly investigate and respond to changes in the market or risk losing their competitive advantage.
