What are business aims? | Long-term aspirations of an organization.
What are business objectives? | Specific, measurable, achievable, relevant, and time-bound targets (SMART) that must be achieved to realize business aspirations.
What is the importance of business aims and objectives? | They align efforts of all employees towards a common vision and ensure everyone works toward the same goals.
What is an example of a business aim and its corresponding objectives? | Aim: becoming market leader in an industry. Objectives: increasing sales by 25% over three years, improving customer satisfaction by 15%, expanding into new markets.
What is survival as a financial objective? | Staying in business, especially crucial in the first year (60% of UK start-ups fail within three years).
What is meant by sales as a financial objective? | Getting customers to buy the business's products to earn income for its owners.
What is profit as a financial objective? | Ensuring sales revenue received is more than costs.
What is market share as a financial objective? | The percentage of total market revenue a single firm has (e.g., Costa had 8% market share of 'out-of-home' coffee in UK in 2020).
What is financial security as a financial objective? | When a business and its owners can pay all overheads (bills), make a profit, and have reserves for unexpected emergencies.
What is social entrepreneurship as a non-financial objective? | Aiming to address social issues while maintaining financial objectives for sustainability (e.g., TOMS Shoes donating one pair for every pair sold).
What is personal satisfaction as a non-financial objective? | Gaining satisfaction from doing what the entrepreneur wants to do (aligning business with personal passions).
What is challenge as a non-financial objective? | Setting up something nobody else has thought of, proving something can be done.
What is independence and control as a non-financial objective? | Wanting to control one's own time and business direction, doing things one's own way.
How does industry affect business objectives? | Different industries have different priorities (e.g., healthcare focuses on improving wellbeing, financial services focus on maximizing profits).
How does size affect business objectives? | Small businesses often focus on survival and sustainable growth, while larger corporations prioritize diversification and market dominance.
How does culture affect business objectives? | A business's unique values, beliefs, and vision impact its aims, objectives, and strategies.
How does ownership structure affect business objectives? | For example, family-owned businesses may prioritize long-term stability and legacy over short-term profitability.
How does geographic location affect business objectives?福 | Businesses in developed economies may prioritize innovation and technology, while those in developing economies may prioritize job creation.
What is sales revenue? | The value of units sold by a business (e.g., revenue earned by Apple Music from sales of music downloads).
How is sales revenue calculated? | Sales revenue = Selling price × number of units sold
What are fixed costs (FC)? | Costs that do not change as the level of output changes (must be paid whether output is zero or higher).
Give examples of fixed costs. | Rent, management salaries, insurance, bank loan repayments.
How are fixed costs represented on a graph? | As a straight horizontal line that remains the same regardless of output level.
What are variable costs (VC)? | Costs that change directly with output (increase as output increases and vice versa).
