What is internal (organic) business growth? | Growth that is driven by internal expansion using reinvested profits or loans.
What are the main reasons why businesses want to grow? | To increase market share and profitability, gain stronger market power, reduce costs through economies of scale, diversify products, and gain easier access to finance.
What is retrenchment? | When a business scales down its operations by reducing workforce, closing less profitable outlets, or exiting existing markets.
What are the main ways organic growth is generated? | By gaining greater market share, product diversification, opening new stores, international expansion, and investing in new technology/machinery.
What is product diversification? | Creating new products to open up new revenue streams for a business.
What are the advantages of internal (organic) growth? | The pace of growth is manageable, it's less risky as it's financed by profits, and management knows every part of the business.
What are the disadvantages of internal (organic) growth? | The pace of growth can be slow, businesses can't always benefit from lower unit costs, and access to finance may be limited.
What is external (inorganic) business growth? | Growth achieved through mergers or takeovers with other businesses.
What is the difference between a merger and a takeover? | A merger occurs when two companies combine to form a new company, while a takeover is when one company purchases another company (often against its will).
What are the main reasons for mergers and takeovers? | Strategic fit, lower unit costs, synergies, elimination of competition, and increased shareholder value.
What is forward vertical integration? | A merger or takeover with a firm further forward in the supply chain (e.g., a manufacturer buying a retailer).
What is backward vertical integration? | A merger or takeover with a firm further backward in the supply chain (e.g., a retailer buying a manufacturer).
What is horizontal integration? | A merger or takeover with a firm at the same stage of the supply chain (e.g., one retailer buying another retailer).
What are the advantages of vertical integration? | Reduces production costs by eliminating middlemen, gives greater control over the supply chain, ensures access to raw materials, allows quality control of materials, adds additional profit, and can increase brand visibility.
What are the disadvantages of vertical integration? | Possible duplication of roles, culture clash between merged firms, lack of expertise in running the new business, and high acquisition costs may take time to recoup.
What are the advantages of horizontal integration? | Rapid increase in market share, reduced costs per unit, reduced competition, industry knowledge makes the merger more likely to succeed, and gaining new expertise.
What are the disadvantages of horizontal integration? | Unit costs may increase due to duplication of roles and potential culture clash between the merged firms.
What is a public limited company (plc)? | A company that can sell shares to the general public on a stock exchange.
What is a stock market flotation? | The process of transitioning from a private limited company to a public limited company by listing shares on a stock exchange.
What are the advantages of becoming a public limited company? | Access to significant capital quickly, shared risks among many shareholders, increased liquidity of shares, extended decision-making with outside expertise, and greater public profile.
What are the disadvantages of becoming a public limited company? | Increased regulation and reporting requirements, loss of control for founders, expensive set-up costs, pressure to deliver short-term profits, and risk of hostile takeover.
What is the difference between internal and external sources of finance? |Titernal finance comes from inside the business (owner's capital, retained profit, sale of assets), while external finance comes from outside the business (bank loans, share capital).
What is retained profit as a source of finance? | Profit generated in previous years that has not been distributed to owners and is reinvested back into the business.
What is a sale and leaseback arrangement? | When a business sells an asset (usually a building) for cash, then rents it back from the new owner.
What are the advantages of using internal finance? | It's often free (no interest), doesn't involve third parties who might influence decisions, can be organized quickly with minimal paperwork, and is accessible to businesses that might fail credit checks.
What are the disadvantages of using internal finance? | Opportunity cost (can't use the money for other purposes), may not be sufficient for business needs, and is rarely as tax-efficient as external methods.
What are the advantages of bank loans as a source of finance? | Fixed interest rates make repayments predictable, which helps with business planning.
What are the disadvantages of bank loans as a source of finance? | Interest is payable and business assets are at risk if repayments aren't made on time.
What are the advantages of share capital as a source of finance? | Large amounts of money can be raised quickly, and shareholders may bring valuable expertise to the business.
What are the disadvantages of share capital as a source of finance? | Shareholders are entitled to dividends from profits and have voting rights at the Annual General Meeting, potentially influencing business decisions.
What factors cause business objectives to evolve? | Market conditions, technology changes, business performance, legislation, and internal reasons such as changes in management.
How can a business's aims and objectives evolve? | By refocusing from survival to growth, entering or exiting markets, growing or reducing the workforce, and increasing or decreasing product range.
What is globalisation? | The economic integration of different countries through increasing freedoms in cross-border movement of people, goods/services, technology, and finance.
What are imports? | Goods and services bought by people and businesses in one country from another country.
What are exports? | Goods and services sold by domestic businesses to people or businesses in other countries.
What factors should businesses consider when setting up production facilities in another country? | Costs of production, skills and availability of labor, infrastructure, location in trade bloc, government incentives, ease of doing business, political stability, natural resources, and return on investment.
What is a multinational corporation (MNC)? | A business that is registered in one country but has manufacturing operations or outlets in different countries.
What are the advantages of multinational corporations for local communities? | Job opportunities, economic growth, improved infrastructure, tax payments to local authorities, and charitable initiatives.
What are the disadvantages of multinational corporations for local communities? | Potential environmental damage, exploitation of workers, and abandoned production facilities when MNCs leave.
What is protectionism? | When a government seeks to protect domestic industries from foreign competition.
What is a tariff? | A tax placed on imported goods from other countries.
What are the benefits of tariffs? | They protect infant industries, increase government tax revenue, and reduce dumping by foreign businesses.
What are the disadvantages of tariffs? | They increase costs of imported raw materials, reduce competition for domestic firms making them less efficient, and reduce consumer choice.
What is a trading bloc? | A group of countries that form an agreement to reduce or eliminate protectionist measures between each other.
What are the benefits for businesses inside a trading bloc? | Access to more markets, protection from external competition through tariff walls, infrastructure support, and free movement of labor.
What are the drawbacks for businesses inside a trading bloc? | Increased competition, need to follow common rules and regulations, potential retaliation from countries outside the bloc, and possible inefficiency due to reduced global competition.
How has the internet transformed the way businesses compete internationally? | Companies can now reach global customers and sell products/services through online platforms.
Why do businesses need to adapt their marketing mix for international markets? | To account for different cultural behaviors, customs, languages, and preferences when operating in overseas markets.
What cultural factors should businesses consider when adapting their marketing mix internationally? | Different meanings of colors, symbols, and images; language nuances and idioms; and local customs and traditions.
Why have ethical and environmental considerations become increasingly important to businesses? | Consumer concerns can quickly damage business reputation, many stakeholders demand greater accountability, and ethical practices can add value to brands.
How can ethical considerations impact business activity? | Companies need to balance ethical responsibilities (like fair labor practices) with the need to generate profit, which can increase costs.
How can environmental considerations impact business activity? | Businesses must balance environmental responsibilities (like sustainable sourcing) with profitability, which often leads to higher costs.
