What is a legal issue in computing? | A problem or dispute concerning the interpretation, application, or violation of laws in computing.
What are three examples of legal issues in computing? | Copyright, cybersecurity, and data protection.
What is an ethical issue in computing? | A situation that raises questions about what is right and wrong with technology use, often when laws haven't caught up with advances.
What is the digital divide? | The inequality between those who have access to technology and those who don't, creating barriers to education, employment, and economic opportunities.
What is algorithmic bias? | When algorithms in decision-making unintentionally promote unfair biases, leading to discrimination in areas like employment, loans, and criminal justice.
How does digital technology affect intellectual property? | Digital copying and distribution raises ethical questions about protecting intellectual property rights and fair compensation for creators.
What ethical concerns does automation raise? | Job losses and potential loss of livelihood for workers.
What is a cultural issue in computing? | An issue that relates to the impact of technology on the nature and culture of society.
What are examples of how technology has changed daily life? | Online shopping, on-demand content/streaming, navigation, gaming, social media, and remote working.
How does the digital divide manifest culturally? | Through inequalities in access, use, education, and confidence in new technologies based on geography, cost, education, and confidence levels.
What are positive cultural impacts of remote working? | Better work-life balance, global collaboration opportunities, and increased diversity and inclusion.
What are negative cultural impacts of remote working? | Social isolation, communication challenges, and blurred boundaries between work and personal time.
What is censorship in relation to computing? | Restricting access to online content based on different beliefs of what is acceptable, which can lead to social unrest.
What is an environmental issue in computing? | An issue caused by manufacturing and use of computers that negatively impacts the environment.
How does technology manufacturing affect natural resources? | It uses large amounts of natural resources like metals and plastics for components.
How does the "throw-away society" impact the environment? | Rapid disposal of devices leads to increased pollution and environmental contamination from landfill waste.
What is a privacy issue in computing? | An issue that comes from collecting, accessing, or using personal information without consent or control.
What privacy concerns arise from facial recognition technology? | Concerns about what is being watched and who is watching.
What privacy concerns are associated with GPS technology? | Questions about where location data is kept, who has access to it, and whether it's being used for other purposes.
What are arguments for internet monitoring? | It promotes responsible online behavior and prevents cyberbullying.
What are arguments against internet monitoring? | Concerns about limitations to free speech, potential abuse by authorities, and biased algorithms leading to censorship.
What is the Data Protection Act (2018)? | A law that protects personal data from being misused.
What are examples of personal data? | Name, address, date of birth, race, and religion.
What are exemptions to the Data Protection Act? | Domestic purposes, law enforcement, and intelligence services processing.
What is the first principle of the Data Protection Act? | Personal data must be fairly and lawfully processed.
What is the second principle of the Data Protection Act? | Personal data must be collected for specified and lawful purposes.
What is the third principle of the Data Protection Act? | Personal data must be adequate, relevant and not excessive.
What is the fourth principle of the Data Protection Act? | Personal data must be kept accurate and up to date.
What is the fifth principle of the Data Protection Act? | Personal data will not be kept for longer than is necessary.
What is the sixth principle of the Data Protection Act? | Personal data must be processed in line with people's rights.
What is the Computer Misuse Act (1990)? | A law that concerns the malicious use of computers and makes hacking illegal.
What are the three primary offenses under the Computer Misuse Act? | Unauthorized access to computer materials, unauthorized access with intent to commit further offenses, and unauthorized modification of computer files.
What is an example of unauthorized access to computer materials? | A student finding out a teacher's password and accessing their computer to view files.
What is an example of unauthorized access with intent to commit further offenses? | A student accessing a teacher's computer with the intent to increase their marks.
What is an example of unauthorized modification of computer files? | A student accessing a teacher's computer and actually increasing their marks.
What can be used to prevent external people accessing a system? | Firewalls, which are key in preventing DoS or DDoS attacks.
What is the Copyright Designs & Patents Act (1988)? | A law that protects the intellectual property of individuals or companies.
How long does copyright protection last? | 25-70 years from the death of the creator, depending on the type of work.
What are examples of primary breaches of copyright? | Copying an original work, issuing copies to the public, renting/lending copies, performing work in public, and making adaptations.
What are examples of secondary breaches of copyright? | Importing copies, possessing copies, providing means to make copies, permitting premises to be used for making copies, and providing equipment for performances.
What is a software license? | A legal agreement that lays out rules for how software can and can't be used.
What are the two main types of software licenses? | Open source and proprietary.
What are features of open source software? | Access to source code to edit/change, usually free, and may allow editing and distribution.
What are features of proprietary software? | Costs money, produced by professional companies, and has regular official updates/support/upgrades/fixes.
What are advantages of open source software? | Allows collaboration, may have faster bug fixes, usually free, and has strong social support.
What are disadvantages of open source software? | Relies on user support, requires expert knowledge to edit, may not get regular updates, and could be vulnerable to malicious code.
What are advantages of proprietary software? | Free customer support, professional standards, and reliable company backing.
What are disadvantages of proprietary software? | Significant cost, limited expansion options, reliance on one company, and may not fully meet user needs.
What type of question is used to test this content in the exam? | A 'discuss' (extended response) 8-mark question.
How should you plan your answer to a 'discuss' question? | Bullet point 1 positive and 1 negative for each issue mentioned, expand each point to explain why it's positive/negative, apply to the context, and add a conclusion.
What is needed to access top marks in a 'discuss' question? | A conclusion that weighs up both sides of the discussion.
